RecordedAt,NodeId,Battery,NodeRSSI,Latitude,Longitude,Firmware,NodeUTMx,NodeUTMy
2022-03-08 16:23:37,328840,3.78,-92,4.524636,-73.771496,1.15.3,1033959.7950031541,992093.4683125895
2022-03-08 16:26:06,376095,4.07,-96,4.527309,-73.770808,1.17.5,1034036.0219440942,992389.0882502769
2022-03-08 16:26:41,377905,4.08,-94,4.524319,-73.770192,1.17.5,1034104.5231344408,992058.4746783762
2022-03-08 16:25:13,379611,4.03,-95,4.525354,-73.7686,1.17.5,1034281.1490716491,992173.0028056013
2022-03-08 16:24:59,32820a,3.69,-96,4.523903,-73.76884,1.15.3,1034254.5829356479,992012.5358640072
2022-03-08 16:25:07,3775bf,3.83,-83,4.526327,-73.772376,1.17.5,1033862.0571553619,992280.4226507683
2022-03-08 16:25:18,37774c,3.85,-85,4.526018,-73.771104,1.17.5,1034003.2332889078,992246.3120284072
2022-03-08 16:25:22,3288e6,3.89,-77,4.52503,-73.772832,1.15.3,1033811.5121975533,992136.9755796548
2022-03-08 16:25:26,37917d,3.78,-86,4.527953,-73.767896,1.17.5,1034359.1538655134,992460.4407687566
2022-03-08 16:25:34,3275dd,3.84,-79,4.526965,-73.769472,1.15.3,1034184.3020982648,992351.1105559595
2022-03-08 16:26:00,37a200,4.04,-91,4.528632,-73.77044,1.17.5,1034076.7992308061,992535.4065280968
2022-03-08 16:26:33,37a5e9,4,-96,4.527716,-73.772064,1.17.5,1033896.6170939947,992434.0366578624
2022-03-08 16:26:54,3290ef,3.78,-99,4.529,-73.771792,1.15.3,1033926.7427433851,992576.0376338116
2022-03-08 16:27:01,3774a7,4.06,-92,4.52566,-73.769832,1.17.5,1034144.411853846,992206.7830896343
2022-03-08 16:27:05,377bc2,3.92,-96,4.528241,-73.76916,1.17.5,1034218.8667016707,992492.2288925654
2082-05-10 05:42:58,328b9b,3.87,-88,4.526635,-73.768208,1.12.3,1034324.5914650422,992314.67787986
